"Country or Area","Year(s)","Variant","Value"
"Ireland","2101","Medium",""
"Ireland","2100","Medium","92.2843"
"Ireland","2099","Medium","92.1655"
"Ireland","2098","Medium","92.0613"
"Ireland","2097","Medium","91.939"
"Ireland","2096","Medium","91.8262"
"Ireland","2095","Medium","91.7032"
"Ireland","2094","Medium","91.5896"
"Ireland","2093","Medium","91.4833"
"Ireland","2092","Medium","91.3665"
"Ireland","2091","Medium","91.2484"
"Ireland","2090","Medium","91.1379"
"Ireland","2089","Medium","91.0256"
"Ireland","2088","Medium","90.9183"
"Ireland","2087","Medium","90.7878"
"Ireland","2086","Medium","90.6839"
"Ireland","2085","Medium","90.5661"
"Ireland","2084","Medium","90.454"
"Ireland","2083","Medium","90.3402"
"Ireland","2082","Medium","90.226"
"Ireland","2081","Medium","90.1098"
"Ireland","2080","Medium","90.0027"
"Ireland","2079","Medium","89.8913"
"Ireland","2078","Medium","89.7786"
"Ireland","2077","Medium","89.6682"
"Ireland","2076","Medium","89.5535"
"Ireland","2075","Medium","89.4479"
"Ireland","2074","Medium","89.3231"
"Ireland","2073","Medium","89.2151"
"Ireland","2072","Medium","89.095"
"Ireland","2071","Medium","88.9845"
"Ireland","2070","Medium","88.862"
"Ireland","2069","Medium","88.7487"
"Ireland","2068","Medium","88.6424"
"Ireland","2067","Medium","88.5269"
"Ireland","2066","Medium","88.4186"
"Ireland","2065","Medium","88.2949"
"Ireland","2064","Medium","88.1783"
"Ireland","2063","Medium","88.0577"
"Ireland","2062","Medium","87.9443"
"Ireland","2061","Medium","87.8214"
"Ireland","2060","Medium","87.7062"
"Ireland","2059","Medium","87.59"
"Ireland","2058","Medium","87.4728"
"Ireland","2057","Medium","87.3549"
"Ireland","2056","Medium","87.2359"
"Ireland","2055","Medium","87.1073"
"Ireland","2054","Medium","86.9865"
"Ireland","2053","Medium","86.8807"
"Ireland","2052","Medium","86.7583"
"Ireland","2051","Medium","86.6414"
"Ireland","2050","Medium","86.5171"
"Ireland","2049","Medium","86.3919"
"Ireland","2048","Medium","86.2757"
"Ireland","2047","Medium","86.149"
"Ireland","2046","Medium","86.0313"
"Ireland","2045","Medium","85.9027"
"Ireland","2044","Medium","85.7835"
"Ireland","2043","Medium","85.6531"
"Ireland","2042","Medium","85.5323"
"Ireland","2041","Medium","85.4104"
"Ireland","2040","Medium","85.2773"
"Ireland","2039","Medium","85.1538"
"Ireland","2038","Medium","85.0189"
"Ireland","2037","Medium","84.8939"
"Ireland","2036","Medium","84.7612"
"Ireland","2035","Medium","84.6347"
"Ireland","2034","Medium","84.495"
"Ireland","2033","Medium","84.3545"
"Ireland","2032","Medium","84.2187"
"Ireland","2031","Medium","84.0823"
"Ireland","2030","Medium","83.9379"
"Ireland","2029","Medium","83.7925"
"Ireland","2028","Medium","83.6404"
"Ireland","2027","Medium","83.48"
"Ireland","2026","Medium","83.3319"
"Ireland","2025","Medium","83.1814"
"Ireland","2024","Medium","83.0245"
"Ireland","2023","Medium","82.8746"
"Ireland","2022","Medium","82.716"
"Ireland","2021","Medium","81.9976"
"Ireland","2020","Medium","82.4699"
"Ireland","2019","Medium","82.2586"
"Ireland","2018","Medium","82.0863"
"Ireland","2017","Medium","81.9168"
"Ireland","2016","Medium","81.5498"
"Ireland","2015","Medium","81.4163"
"Ireland","2014","Medium","81.3067"
"Ireland","2013","Medium","80.9675"
"Ireland","2012","Medium","80.7523"
"Ireland","2011","Medium","80.6332"
"Ireland","2010","Medium","80.5226"
"Ireland","2009","Medium","80.0461"
"Ireland","2008","Medium","79.7625"
"Ireland","2007","Medium","79.5547"
"Ireland","2006","Medium","79.1518"
"Ireland","2005","Medium","78.9162"
"Ireland","2004","Medium","78.5126"
"Ireland","2003","Medium","78.1107"
"Ireland","2002","Medium","77.5999"
"Ireland","2001","Medium","77.1087"
"Ireland","2000","Medium","76.5423"
"Ireland","1999","Medium","76.094"
"Ireland","1998","Medium","76.1889"
"Ireland","1997","Medium","75.98"
"Ireland","1996","Medium","75.83"
"Ireland","1995","Medium","75.4783"
"Ireland","1994","Medium","75.8013"
"Ireland","1993","Medium","75.2942"
"Ireland","1992","Medium","75.4278"
"Ireland","1991","Medium","75.031"
"Ireland","1990","Medium","74.8418"
"Ireland","1989","Medium","74.4543"
"Ireland","1988","Medium","74.4285"
"Ireland","1987","Medium","74.4098"
"Ireland","1986","Medium","73.6129"
"Ireland","1985","Medium","73.5641"
"Ireland","1984","Medium","73.6253"
"Ireland","1983","Medium","73.1813"
"Ireland","1982","Medium","73.1579"
"Ireland","1981","Medium","72.8896"
"Ireland","1980","Medium","72.5397"
"Ireland","1979","Medium","72.1829"
"Ireland","1978","Medium","71.9338"
"Ireland","1977","Medium","71.9423"
"Ireland","1976","Medium","71.8001"
"Ireland","1975","Medium","71.6912"
"Ireland","1974","Medium","71.1153"
"Ireland","1973","Medium","71.1728"
"Ireland","1972","Medium","70.9563"
"Ireland","1971","Medium","71.6227"
"Ireland","1970","Medium","70.8348"
"Ireland","1969","Medium","70.8003"
"Ireland","1968","Medium","70.8861"
"Ireland","1967","Medium","71.201"
"Ireland","1966","Medium","70.1571"
"Ireland","1965","Medium","70.6441"
"Ireland","1964","Medium","70.4468"
"Ireland","1963","Medium","70.1907"
"Ireland","1962","Medium","69.9478"
"Ireland","1961","Medium","69.6388"
"Ireland","1960","Medium","70.1704"
"Ireland","1959","Medium","69.4239"
"Ireland","1958","Medium","69.2744"
"Ireland","1957","Medium","69.0017"
"Ireland","1956","Medium","68.957"
"Ireland","1955","Medium","67.9963"
"Ireland","1954","Medium","68.0061"
"Ireland","1953","Medium","67.9099"
"Ireland","1952","Medium","67.1655"
"Ireland","1951","Medium","64.7533"
"Ireland","1950","Medium","65.5775"

